MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
8,4,8,2,3,6,5,5,7,4,7,2,6,6,8,11,7,6,3,8,0.6793
11,2,2,8,3,5,5,9,9,6,2,9,3,6,1,3,7,8,7,9,0.7102
4,8,4,6,4,8,10,5,11,4,6,8,5,4,3,5,4,5,4,6,0.6086
2,3,6,1,6,5,6,6,7,4,2,5,5,11,6,4,6,9,7,8,0.5915
6,8,6,8,5,5,2,5,12,8,3,5,8,3,6,7,2,7,6,4,0.6291
8,5,5,11,2,1,7,4,6,4,9,3,9,8,2,5,7,3,8,7,0.6924
6,8,6,6,5,7,10,6,11,4,6,8,7,5,5,3,8,5,5,9,0.6839
2,3,7,6,8,4,8,9,8,2,4,7,8,8,5,3,6,7,2,5,0.6153
5,7,6,6,6,3,5,7,2,10,5,6,6,4,6,7,8,5,9,4,0.6669
6,2,8,4,9,3,4,6,6,9,3,5,8,5,5,2,11,6,2,3,0.6561
3,6,5,6,8,4,3,7,7,7,10,3,8,9,2,4,6,2,8,11,0.7108
4,4,6,8,5,6,5,6,3,4,4,5,8,5,7,3,8,6,12,9,0.646
6,8,8,8,9,5,6,3,10,4,8,5,7,6,6,10,9,3,4,3,0.755
5,9,5,4,3,10,10,2,10,6,7,8,7,7,6,5,4,3,12,3,0.6698
5,3,3,5,6,3,4,6,4,7,8,4,7,7,6,6,4,7,5,11,0.6489
8,3,10,6,8,6,1,4,7,7,2,12,9,8,7,4,5,7,8,4,0.7876
6,3,7,11,5,8,8,4,4,4,6,6,3,8,3,8,5,2,6,7,0.6577
4,4,7,2,6,3,5,6,4,7,8,7,8,5,5,9,6,8,2,4,0.6235
3,3,4,5,6,7,5,7,6,8,2,4,4,4,3,7,2,9,7,5,0.5693
5,5,2,5,3,6,12,6,4,7,6,4,2,5,8,4,3,6,9,6,0.5915
6,5,4,5,8,9,8,7,6,4,6,7,7,3,7,7,7,3,4,6,0.6574
6,7,4,6,4,4,2,4,5,6,6,6,6,2,8,10,2,7,5,11,0.6204
6,7,11,6,4,11,4,5,8,4,7,10,5,6,5,8,9,5,5,7,0.7177
4,9,7,6,9,2,7,10,7,5,3,5,5,6,5,8,3,7,3,5,0.6456
5,6,6,7,5,3,4,3,7,7,10,6,5,5,8,6,7,9,2,8,0.6821
7,5,5,1,7,8,3,4,6,3,1,3,4,10,5,4,8,4,3,8,0.6013
9,7,12,5,2,4,6,5,8,6,4,5,7,4,6,11,6,5,6,4,0.6918
5,9,3,11,4,13,5,4,6,7,9,9,4,3,8,7,5,3,5,5,0.7058
4,3,2,9,11,5,5,5,7,6,5,3,9,9,9,5,11,2,7,7,0.774
6,5,9,7,1,4,7,8,3,9,5,9,4,5,6,9,6,3,3,5,0.6292
4,7,5,3,6,12,6,7,7,5,8,4,6,3,6,8,7,4,2,6,0.6329
9,3,6,3,5,9,2,2,6,7,5,5,7,6,8,6,6,4,4,5,0.6695
7,7,8,11,4,5,5,8,6,5,10,5,7,10,6,10,6,3,4,3,0.7882
6,6,4,5,9,5,4,7,8,8,12,9,7,5,5,4,6,11,12,10,0.8023
3,4,5,7,8,8,6,6,3,7,9,5,11,7,4,3,7,7,4,3,0.6702
10,8,6,7,9,6,2,9,3,7,4,3,3,9,7,6,7,6,10,2,0.8025
8,2,4,10,2,9,4,3,7,4,8,6,11,9,6,10,3,2,9,7,0.7473
7,10,8,3,2,8,6,5,5,5,2,4,5,2,2,5,7,4,3,5,0.565
6,6,8,7,6,8,2,3,7,5,3,5,7,7,11,2,7,1,10,4,0.6836
3,10,7,1,5,5,5,3,4,6,6,11,5,11,5,8,6,6,6,9,0.6281
9,4,3,2,5,9,8,4,2,6,10,2,5,10,7,7,4,2,9,4,0.646
7,8,5,3,3,4,5,9,6,1,8,7,4,4,8,5,7,4,6,6,0.6187
6,4,5,0,3,9,6,7,5,2,6,2,5,4,13,6,3,7,6,5,0.5837
9,8,4,5,7,3,5,5,2,5,5,5,6,6,8,6,7,7,7,11,0.7251
4,10,6,6,5,3,11,11,2,4,4,4,4,5,6,0,8,4,4,7,0.5711
9,6,4,4,4,7,11,7,6,7,2,6,2,4,6,7,8,6,4,4,0.6248
5,2,7,4,2,9,7,9,5,4,6,4,8,9,6,7,8,2,5,6,0.6424
6,7,6,7,6,6,2,10,9,4,6,6,7,8,7,6,6,7,6,7,0.7555
2,7,6,7,6,10,7,5,3,3,8,9,6,6,11,7,5,2,5,4,0.634
8,7,7,3,4,4,9,11,2,5,8,4,0,8,6,6,6,9,5,4,0.6552
3,8,6,7,5,5,4,3,3,6,9,5,3,5,1,1,5,4,5,6,0.5658
5,10,3,5,10,6,9,9,3,7,6,8,4,4,4,7,5,6,3,6,0.654
3,7,6,9,5,5,6,4,9,8,7,7,7,8,7,10,9,2,7,7,0.7406
4,10,4,5,3,7,2,6,6,6,12,7,7,9,8,7,2,5,8,8,0.6928
7,7,5,4,6,2,5,5,2,1,6,7,8,8,2,8,5,9,7,6,0.6463
4,7,5,5,3,8,5,8,7,1,5,4,5,8,10,7,9,8,7,6,0.6715
5,9,6,8,3,0,5,11,3,11,5,5,8,4,4,7,7,3,5,9,0.6576
5,6,8,5,8,6,10,7,6,8,8,2,4,3,1,6,4,9,12,2,0.6972
7,8,7,9,6,4,3,4,9,7,5,4,5,7,4,1,6,9,6,9,0.7296
5,8,8,3,9,10,4,6,1,3,8,3,4,2,7,6,10,7,6,9,0.6772
3,7,7,6,7,14,4,8,9,5,6,4,5,9,7,5,6,4,7,3,0.7064
6,3,12,8,8,8,10,3,7,4,9,8,5,1,2,3,7,9,3,5,0.6478
5,5,8,8,6,5,7,7,5,6,7,8,4,9,5,5,4,6,7,7,0.6919
4,5,8,6,6,9,6,5,9,5,13,7,6,4,9,7,4,5,5,4,0.6863
3,1,4,6,5,8,5,6,6,6,5,8,6,8,4,2,9,9,3,6,0.6099
7,8,5,11,11,6,11,8,9,4,4,6,12,7,7,6,4,6,3,2,0.7518
7,9,2,4,5,5,4,7,4,9,8,1,5,7,5,11,6,9,8,8,0.7181
8,0,6,5,6,6,5,6,8,3,4,2,6,7,9,4,11,7,7,6,0.663
2,3,4,4,7,8,8,4,2,8,10,5,5,3,3,9,10,6,9,5,0.6086
8,5,3,11,6,4,6,5,8,5,4,6,5,4,4,8,9,7,7,6,0.7073
3,7,2,4,4,4,5,4,5,6,6,7,2,5,10,5,2,7,7,11,0.5796
7,7,5,3,7,9,4,5,6,7,2,7,8,3,7,9,3,10,4,3,0.6532
3,5,4,10,6,8,6,6,5,8,5,7,5,9,6,4,2,6,10,4,0.6688
6,6,11,5,3,7,4,4,3,8,10,6,2,13,6,6,8,8,7,6,0.7214
5,3,8,4,9,5,2,4,6,4,8,7,5,3,1,8,5,6,6,7,0.6284
5,10,6,9,6,4,8,6,8,9,4,5,9,11,5,8,8,8,2,1,0.7875
6,5,5,7,7,3,3,2,6,9,9,7,7,2,12,4,4,5,4,10,0.7013
8,5,6,7,8,5,7,3,2,6,3,6,7,13,4,8,5,6,6,5,0.7333
5,4,4,8,7,7,2,4,8,10,6,7,8,1,6,7,7,4,3,9,0.6663
4,2,6,5,8,3,4,5,3,7,3,6,5,4,9,5,8,5,6,4,0.6104
9,2,4,5,5,12,7,6,9,9,9,6,2,9,3,8,4,4,7,2,0.7104
6,9,6,5,4,5,4,4,7,6,8,6,5,5,10,7,1,5,5,5,0.6481
11,7,3,6,5,10,6,5,7,5,7,6,4,5,9,7,6,4,7,4,0.7382
5,11,4,7,9,6,3,9,8,6,4,5,8,11,13,4,12,7,11,11,0.8812
6,3,8,6,8,3,6,6,4,4,7,4,6,4,4,8,6,4,3,2,0.6082
11,9,11,9,6,7,6,7,5,4,6,7,12,2,13,3,8,2,6,9,0.8005
4,8,8,3,7,6,6,10,6,5,8,6,5,2,4,4,5,2,3,4,0.6209
4,8,6,6,8,4,5,6,4,7,6,8,8,5,3,4,5,6,4,8,0.6173
8,6,8,8,5,8,4,7,6,4,3,4,3,1,6,7,7,5,7,9,0.6579
5,10,5,6,3,11,6,4,6,3,5,4,7,6,7,5,6,9,3,3,0.6342
11,6,7,6,4,4,2,4,9,8,5,7,10,7,6,7,12,6,8,4,0.8231
5,5,4,7,6,6,8,5,10,15,10,2,0,2,8,4,7,9,5,5,0.6691
4,4,8,8,9,8,7,3,9,8,7,3,6,8,7,6,11,11,5,10,0.8213
4,5,8,1,8,5,6,10,5,7,4,10,4,10,7,6,9,9,9,4,0.6943
7,5,5,6,6,3,8,5,10,4,4,6,9,8,6,8,7,4,4,7,0.6922
8,5,5,5,0,9,7,11,4,8,9,7,8,8,7,7,10,7,3,5,0.7316
4,3,1,3,5,5,8,3,7,4,11,5,5,3,7,9,4,4,6,8,0.5713
3,7,9,8,7,8,3,9,6,2,7,8,6,6,8,5,9,5,4,5,0.6543
8,4,4,10,6,7,6,4,7,6,6,4,6,6,4,3,8,9,4,5,0.6884
8,4,5,4,6,6,5,5,4,7,3,8,5,7,5,8,3,6,8,9,0.6722
8,4,6,9,3,4,7,8,6,3,4,4,5,6,7,5,4,4,7,2,0.6432
3,1,8,6,8,3,7,6,6,11,10,4,3,6,3,6,9,3,7,6,0.663
3,4,2,5,4,7,10,4,6,7,6,5,2,6,11,10,7,9,12,4,0.6801
5,6,8,7,10,4,5,6,8,8,5,10,4,6,5,8,5,8,1,6,0.709
10,4,6,11,8,2,5,4,7,3,5,11,6,8,5,3,8,7,9,4,0.7722
9,3,2,7,4,8,8,4,7,7,11,7,4,6,5,8,1,4,8,4,0.684
5,5,8,8,9,2,5,5,4,6,2,2,10,5,7,6,4,8,8,11,0.7099
3,7,5,6,11,7,5,2,7,4,5,8,9,3,3,10,3,3,5,3,0.6116
10,5,6,4,7,9,4,7,5,3,3,4,3,4,9,5,7,4,8,4,0.7039
10,6,7,6,5,5,8,3,8,3,8,9,8,5,4,3,7,3,10,5,0.7018
4,5,5,5,12,9,9,8,8,5,9,8,5,4,7,6,6,6,2,8,0.7289
5,5,9,4,5,4,4,3,5,4,6,7,4,5,2,10,3,7,7,2,0.5934
7,6,5,6,6,5,4,6,5,5,3,9,8,9,7,7,7,6,4,9,0.7376
1,6,4,7,6,4,9,7,4,5,5,5,5,5,3,3,6,5,7,6,0.5753
7,6,6,6,3,8,7,7,6,6,7,6,5,6,2,6,5,5,5,2,0.6028
6,10,5,6,7,7,7,5,3,8,3,7,5,2,6,2,9,1,2,8,0.6397
8,6,4,3,4,1,5,5,4,7,4,5,7,6,10,8,7,3,13,8,0.6828
9,8,6,5,10,9,6,6,4,4,4,6,7,6,7,4,4,5,8,2,0.7173
1,8,4,10,6,3,6,9,10,11,12,8,5,7,5,9,5,2,7,7,0.7129
10,6,7,11,7,7,10,10,10,4,2,8,8,10,14,3,11,2,3,6,0.85
4,4,7,2,9,4,4,10,6,7,7,7,9,4,4,6,3,5,6,4,0.6455
7,3,9,4,6,4,7,6,7,8,3,5,7,5,4,7,6,8,4,5,0.6502
6,6,3,4,7,15,8,5,5,2,10,14,4,4,7,6,4,7,4,3,0.6512
7,2,10,3,6,10,2,9,10,9,8,1,5,7,4,6,6,6,8,2,0.7323
5,7,5,5,11,10,7,9,7,8,8,16,3,6,6,8,12,7,4,5,0.7886
7,8,4,1,8,6,7,5,8,8,11,3,5,4,6,6,4,6,5,9,0.6562
7,8,1,3,8,5,8,5,5,6,5,7,6,5,5,5,3,5,10,7,0.6534
2,3,8,6,3,9,4,8,7,4,7,5,2,8,6,6,4,7,6,4,0.6051
4,6,3,5,7,8,9,5,4,5,3,7,5,5,8,4,8,6,7,10,0.6539
2,8,10,6,5,2,5,5,8,2,3,3,8,7,3,6,10,4,7,6,0.6141
6,7,1,5,4,10,9,3,10,4,12,7,6,6,5,6,5,8,5,7,0.6856
6,5,4,7,6,13,4,10,7,6,6,2,12,6,2,6,5,2,7,4,0.7305
7,4,7,6,9,3,4,2,8,8,15,7,5,3,5,6,7,9,3,4,0.7079
7,6,4,6,8,6,4,6,4,2,3,3,9,2,11,2,7,3,6,7,0.6514
2,4,4,6,8,5,5,5,6,4,7,9,13,9,4,4,7,5,4,9,0.67
4,7,7,10,8,4,3,5,6,5,7,5,2,4,5,6,3,7,7,3,0.6449
6,7,3,8,11,9,9,1,3,9,4,7,6,8,5,9,4,7,7,3,0.7763
6,8,8,5,9,8,4,7,4,6,7,6,7,4,6,11,6,4,3,3,0.7117
3,6,7,7,6,3,2,9,4,10,5,6,7,6,7,2,7,4,4,4,0.644
8,2,9,5,5,7,3,5,4,6,3,6,4,6,7,7,6,4,5,4,0.6618
8,5,5,2,9,4,8,6,2,4,6,3,4,4,4,7,7,9,10,10,0.6774
8,4,7,4,8,3,8,5,6,5,7,6,7,3,7,6,6,9,4,10,0.7037
7,2,6,5,10,7,6,6,0,8,4,2,3,8,7,7,5,5,6,6,0.7083
7,6,3,6,7,3,3,5,7,6,6,10,3,5,1,4,7,4,7,1,0.6206
7,5,6,6,7,5,6,7,4,4,5,6,8,10,3,11,6,7,6,4,0.7143
6,7,8,7,6,10,7,6,9,9,3,7,6,5,4,8,4,3,5,9,0.6933
6,6,6,8,4,5,6,3,6,9,6,6,4,5,8,8,4,2,7,4,0.6431
6,2,8,7,6,2,6,9,8,2,6,6,5,4,5,4,8,6,5,5,0.6299
8,4,10,10,4,3,12,5,5,4,4,9,9,5,11,6,8,3,6,4,0.6999
5,2,3,8,9,9,6,10,3,6,5,4,10,7,1,7,4,8,5,4,0.7029
7,8,3,8,7,10,4,3,6,5,13,5,2,10,4,5,5,6,6,6,0.7454
5,3,7,5,11,6,5,7,5,5,5,5,8,8,8,3,2,6,5,5,0.6843
8,6,6,5,5,12,4,10,9,5,7,5,6,12,4,7,9,9,7,6,0.8178
3,7,7,5,4,3,10,7,1,4,5,7,7,6,5,10,5,3,13,6,0.6387
5,6,4,7,11,7,4,3,4,9,4,5,5,7,7,6,4,4,6,6,0.7059
12,5,6,6,5,2,5,6,11,3,6,6,6,2,5,7,3,7,1,2,0.67
7,4,5,5,6,4,4,6,4,3,6,5,4,7,5,7,5,5,7,9,0.667
8,8,4,9,6,3,5,3,3,6,9,8,6,8,10,7,11,9,5,5,0.7943
12,2,7,10,5,4,5,9,3,4,5,8,11,9,7,4,5,10,7,9,0.8233
2,1,7,8,6,4,7,9,5,5,7,7,9,3,9,7,6,8,5,7,0.634
6,7,10,9,6,1,8,9,6,3,5,5,7,3,4,8,4,5,4,8,0.6479
4,4,3,9,4,2,8,5,5,8,3,5,9,6,7,8,4,5,3,7,0.6088
8,5,5,3,5,6,3,6,6,6,4,6,4,4,9,6,3,3,5,3,0.578
8,4,4,7,4,6,5,1,7,5,4,3,6,7,3,4,7,6,5,12,0.6594
3,8,3,2,9,10,7,9,9,6,6,6,3,10,4,3,7,1,7,8,0.6961
2,6,11,4,3,6,6,9,8,9,8,4,6,5,5,7,6,5,9,6,0.6541
6,6,2,4,3,3,9,5,7,7,7,6,5,5,3,9,8,8,2,4,0.6037
5,4,10,8,7,8,7,7,3,3,12,5,7,6,3,6,11,10,5,5,0.7475
7,4,8,6,2,3,10,14,8,3,6,6,6,7,6,8,9,4,9,3,0.6745
5,7,8,6,6,4,6,8,5,6,6,3,7,8,4,6,5,7,7,4,0.6989
5,6,5,7,6,11,6,4,9,6,8,7,4,6,6,9,3,5,7,7,0.744
6,3,7,6,4,2,2,5,1,9,7,8,7,6,12,4,5,8,4,6,0.6253
10,3,7,6,5,7,6,10,3,5,10,5,7,5,6,5,4,6,4,9,0.7129
9,4,4,5,6,7,6,5,5,5,6,2,6,1,3,4,5,5,6,4,0.6033
6,1,3,5,6,6,7,7,4,7,8,3,5,3,4,4,7,5,10,6,0.6121
5,7,0,3,5,8,3,5,5,9,7,4,5,4,2,6,5,6,5,5,0.5737
6,6,7,6,9,3,6,7,10,2,8,9,3,7,12,5,10,3,7,8,0.7573
10,6,7,4,3,4,7,7,3,9,5,5,3,10,3,8,8,4,6,8,0.6893
6,4,6,5,7,5,5,3,10,11,9,6,6,9,4,5,5,8,5,7,0.745
3,4,8,6,3,8,5,8,5,7,2,5,2,5,6,5,7,10,3,4,0.5727
3,7,4,8,6,8,6,7,5,10,5,7,8,13,7,6,6,5,6,5,0.7531
5,8,5,9,6,9,4,3,5,7,8,8,11,5,7,10,6,6,6,4,0.7273
9,7,3,4,7,2,9,7,7,5,5,6,8,2,5,9,9,8,10,4,0.7132
6,2,7,2,4,6,8,5,5,6,5,6,4,4,7,7,4,2,4,3,0.5349
3,6,3,6,4,4,5,5,5,4,6,3,11,5,3,4,6,3,7,5,0.5441
7,5,6,8,8,6,8,3,1,9,5,6,8,3,5,10,6,1,4,6,0.6414
9,7,9,6,5,4,4,4,5,7,3,4,9,10,3,2,5,4,5,4,0.7008
6,4,4,2,5,4,7,5,4,12,8,4,5,4,3,8,3,9,8,9,0.6278
5,5,4,3,4,4,6,4,1,5,7,6,5,7,9,7,4,5,3,9,0.5793
10,10,10,3,6,6,8,9,7,7,5,1,8,6,5,1,5,12,9,8,0.7735
7,3,3,4,3,3,6,7,7,4,6,2,6,9,5,8,11,5,3,4,0.5987
7,4,6,3,8,8,3,3,4,8,4,11,6,3,4,4,4,5,4,9,0.6612
7,10,3,5,4,7,6,6,5,7,8,5,8,4,5,6,7,4,11,3,0.655
9,3,12,8,8,8,6,4,6,5,7,9,3,10,5,7,5,9,6,6,0.8167
3,3,5,2,6,5,9,7,4,3,5,9,7,6,6,5,7,3,7,13,0.5981
2,2,7,6,4,1,7,1,6,7,6,4,5,7,8,5,3,9,5,3,0.5329
8,6,5,8,10,7,12,6,8,5,7,11,6,7,6,7,10,6,4,4,0.7515
5,6,7,9,5,5,4,7,4,7,5,8,6,3,3,2,4,5,8,6,0.6168
5,7,7,5,6,9,5,1,9,5,9,5,7,6,9,6,3,4,10,5,0.7002
6,12,11,9,9,5,3,6,6,5,6,3,0,9,3,10,6,5,6,6,0.7861
3,8,5,12,4,4,3,5,9,6,3,8,7,3,8,4,10,10,5,6,0.6956
10,2,3,3,7,4,3,9,7,5,6,8,3,2,12,8,5,5,4,6,0.6821
6,7,2,5,6,5,3,8,5,2,5,10,8,3,4,5,7,4,4,2,0.5872
3,3,5,6,1,5,6,3,4,3,7,3,6,11,6,4,6,9,4,9,0.5941
2,4,13,7,4,6,2,5,5,9,8,7,3,3,8,7,6,8,1,3,0.6066
6,5,7,6,6,5,7,1,1,3,6,7,3,7,6,6,3,5,5,4,0.6071
6,6,4,7,6,3,14,7,6,4,5,9,6,8,3,6,5,13,2,6,0.6602
5,5,10,4,3,2,6,7,7,10,7,4,9,5,3,11,4,6,8,7,0.6832
7,8,2,5,6,4,5,9,8,5,3,6,7,6,4,3,9,4,9,3,0.6374
10,7,6,6,6,7,7,4,4,6,6,4,6,6,8,3,4,11,7,6,0.7294
7,5,7,5,6,9,9,5,2,5,8,6,3,7,5,3,9,4,3,5,0.6162
7,8,5,6,9,5,6,5,7,4,6,1,3,6,7,4,9,5,7,3,0.7315
